TRT01A,AETERM,AEBODSYS,param,value,sub_col_label,AETERM_ORD,AEBODSYS_ORD
Placebo,ANY BODY SYSTEM,ANY BODY SYSTEM,N,69,N_and_N_pct,1,1
Placebo,ANY BODY SYSTEM,ANY BODY SYSTEM,N_tot,301,AEs,1,1
Placebo,ANY BODY SYSTEM,ANY BODY SYSTEM,N_pct,0.8023255813953488,N_and_N_pct,1,1
Xanomeline High Dose,ANY BODY SYSTEM,ANY BODY SYSTEM,N,70,N_and_N_pct,1,1
Xanomeline High Dose,ANY BODY SYSTEM,ANY BODY SYSTEM,N_tot,436,AEs,1,1
Xanomeline High Dose,ANY BODY SYSTEM,ANY BODY SYSTEM,N_pct,0.9722222222222222,N_and_N_pct,1,1
Xanomeline Low Dose,ANY BODY SYSTEM,ANY BODY SYSTEM,N,86,N_and_N_pct,1,1
Xanomeline Low Dose,ANY BODY SYSTEM,ANY BODY SYSTEM,N_tot,454,AEs,1,1
Xanomeline Low Dose,ANY BODY SYSTEM,ANY BODY SYSTEM,N_pct,0.8958333333333334,N_and_N_pct,1,1
Placebo,ABDOMINAL PAIN,GASTROINTESTINAL DISORDERS,N,1,N_and_N_pct,142,5
Placebo,ABDOMINAL PAIN,GASTROINTESTINAL DISORDERS,N_tot,1,AEs,142,5
Placebo,ABDOMINAL PAIN,GASTROINTESTINAL DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,142,5
Placebo,AGITATION,PSYCHIATRIC DISORDERS,N,2,N_and_N_pct,55,11
Placebo,AGITATION,PSYCHIATRIC DISORDERS,N_tot,2,AEs,55,11
Placebo,AGITATION,PSYCHIATRIC DISORDERS,N_pct,0.023255813953488372,N_and_N_pct,55,11
Placebo,ALOPECIA,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N,1,N_and_N_pct,231,3
Placebo,ALOPECIA,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_tot,1,AEs,231,3
Placebo,ALOPECIA,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,231,3
Placebo,ANXIETY,PSYCHIATRIC DISORDERS,N,1,N_and_N_pct,144,11
Placebo,ANXIETY,PSYCHIATRIC DISORDERS,N_tot,2,AEs,144,11
Placebo,ANXIETY,PSYCHIATRIC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,144,11
Placebo,APPLICATION SITE DERMATITIS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,5,N_and_N_pct,7,2
